Key,File,Type,UsedInMainMenu,NoTranslate,english
perkSixthSenseRank3Desc,progression,Perk,,,"Sleeper detection range 12m."
perkSixthSenseRank3LongDesc,progression,Perk,,,"You feel threats through walls. Detection range 12 meters."
perkSixthSenseRank4Desc,progression,Perk,,,"Sleeper detection range 15m."
perkSixthSenseRank4LongDesc,progression,Perk,,,"Ambushes are nearly impossible. 15 meter detection radius."
perkSixthSenseRank5Desc,progression,Perk,,,"Detect all enemies 15m through walls."
perkSixthSenseRank5LongDesc,progression,Perk,,,"Total awareness. All enemies within 15 meters are revealed, even through solid walls."

perkBrutalityName,progression,Perk,,,"Brutality"
perkBrutalityDesc,progression,Perk,,,"Power attacks deal devastating damage and stagger enemies."
perkBrutalityRank1Desc,progression,Perk,,,"Power attack damage +15%."
perkBrutalityRank1LongDesc,progression,Perk,,,"Your power attacks hit significantly harder. +15% power attack damage."
perkBrutalityRank2Desc,progression,Perk,,,"Power attack damage +22%."
perkBrutalityRank2LongDesc,progression,Perk,,,"Raw force applied with purpose. +22% power attack damage."
perkBrutalityRank3Desc,progression,Perk,,,"Power attack damage +30%. 15% stagger."
perkBrutalityRank3LongDesc,progression,Perk,,,"Power attacks now stagger enemies 15% of the time. +30% damage."
perkBrutalityRank4Desc,progression,Perk,,,"Power attack damage +40%. 25% stagger."
perkBrutalityRank4LongDesc,progression,Perk,,,"Bone-crushing force. 25% stagger chance on power attacks. +40% damage."
perkBrutalityRank5Desc,progression,Perk,,,"Power attack damage +50%. 40% stagger."
perkBrutalityRank5LongDesc,progression,Perk,,,"Unstoppable force. Power attacks deal 50% more damage with 40% stagger chance."

perkDemolisherName,progression,Perk,,,"Demolisher"
perkDemolisherDesc,progression,Perk,,,"Explosive weapons deal more damage with larger blast radius."
perkDemolisherRank1Desc,progression,Perk,,,"Explosive damage +15%, block damage +10%."
perkDemolisherRank1LongDesc,progression,Perk,,,"You understand the art of destruction. Explosive entity damage +15%, block damage +10%."
perkDemolisherRank2Desc,progression,Perk,,,"Explosive damage +22%, block damage +18%."
perkDemolisherRank2LongDesc,progression,Perk,,,"Better placement, bigger booms. +22% entity, +18% block damage."
perkDemolisherRank3Desc,progression,Perk,,,"Explosive damage +30%, block damage +25%."
perkDemolisherRank3LongDesc,progression,Perk,,,"Expert demolitions. +30% entity damage, +25% block damage."
perkDemolisherRank4Desc,progression,Perk,,,"Explosive damage +40%, block damage +35%."
perkDemolisherRank4LongDesc,progression,Perk,,,"You could bring down a skyscraper. +40% entity, +35% block damage."
perkDemolisherRank5Desc,progression,Perk,,,"Explosive damage +50%, block damage +50%."
perkDemolisherRank5LongDesc,progression,Perk,,,"Master of destruction. Everything you detonate is devastation. +50% to all explosive damage."

perkPackLeaderName,progression,Perk,,,"Pack Leader"
perkPackLeaderDesc,progression,Perk,,,"Carry more, move unhindered by heavy loads."
perkPackLeaderRank1Desc,progression,Perk,,,"Carry capacity +15."
perkPackLeaderRank1LongDesc,progression,Perk,,,"You've learned to distribute weight efficiently. +15 carry capacity."
perkPackLeaderRank2Desc,progression,Perk,,,"Carry capacity +25."
perkPackLeaderRank2LongDesc,progression,Perk,,,"Heavy loads are just part of the job. +25 carry capacity."
perkPackLeaderRank3Desc,progression,Perk,,,"Carry capacity +35."
perkPackLeaderRank3LongDesc,progression,Perk,,,"You could carry a whole base on your back. +35 carry capacity."
perkPackLeaderRank4Desc,progression,Perk,,,"Carry capacity +45. Encumbrance penalty reduced."
perkPackLeaderRank4LongDesc,progression,Perk,,,"Weight is relative. +45 carry capacity, reduced encumbrance penalties."
perkPackLeaderRank5Desc,progression,Perk,,,"Carry capacity +60. +2 pocket mod slots."
perkPackLeaderRank5LongDesc,progression,Perk,,,"Beast of burden. +60 carry capacity, 2 additional pocket mod slots on armor."

perkWreckerName,progression,Perk,,,"Wrecker"
perkWreckerDesc,progression,Perk,,,"Block damage and mining efficiency increased."
perkWreckerRank1Desc,progression,Perk,,,"Block damage +15%. Harvest yield +10%."
perkWreckerRank1LongDesc,progression,Perk,,,"You break things better than anyone. +15% block damage, +10% harvest yield."
perkWreckerRank2Desc,progression,Perk,,,"Block damage +25%. Harvest yield +18%."
perkWreckerRank2LongDesc,progression,Perk,,,"Efficient destruction. +25% block damage, +18% harvest yield."
perkWreckerRank3Desc,progression,Perk,,,"Block damage +35%. Harvest yield +25%."
perkWreckerRank3LongDesc,progression,Perk,,,"Master miner. +35% block damage, +25% harvest yield."
perkWreckerRank4Desc,progression,Perk,,,"Block damage +45%. Harvest yield +32%."
perkWreckerRank4LongDesc,progression,Perk,,,"Rock and steel yield to your tools. +45% block damage, +32% harvest yield."
perkWreckerRank5Desc,progression,Perk,,,"Block damage +60%. Harvest yield +40%."
perkWreckerRank5LongDesc,progression,Perk,,,"The earth gives up its treasures willingly. +60% block damage, +40% harvest yield."

perkUnstoppableName,progression,Perk,,,"Unstoppable"
perkUnstoppableDesc,progression,Perk,,,"Resist knockdown and stagger. Heavy armor mastery."
perkUnstoppableRank1Desc,progression,Perk,,,"Knockback resist +20%. Heavy armor +5%."
perkUnstoppableRank1LongDesc,progression,Perk,,,"You plant your feet and hold ground. +20% knockback resistance, heavy armor rating +5%."
perkUnstoppableRank2Desc,progression,Perk,,,"Knockback resist +35%. Heavy armor +8%."
perkUnstoppableRank2LongDesc,progression,Perk,,,"Stagger effects bounce off you. +35% knockback resist, heavy armor +8%."
perkUnstoppableRank3Desc,progression,Perk,,,"Knockback resist +50%. Heavy armor +12%."
perkUnstoppableRank3LongDesc,progression,Perk,,,"An immovable object. +50% knockback resist, heavy armor +12%."
perkUnstoppableRank4Desc,progression,Perk,,,"Knockback resist +70%. Heavy armor +16%."
perkUnstoppableRank4LongDesc,progression,Perk,,,"Hordes break against you like waves. +70% knockback resist, heavy armor +16%."
perkUnstoppableRank5Desc,progression,Perk,,,"Immune to knockback. Heavy armor +20%."
perkUnstoppableRank5LongDesc,progression,Perk,,,"Nothing moves you. Full knockback immunity, heavy armor rating +20%."

perkTitanGripName,progression,Perk,,,"Titan's Grip"
perkTitanGripDesc,progression,Perk,,,"Wield heavy weapons and tools with devastating efficiency."
perkTitanGripRank1Desc,progression,Perk,,,"Attack speed +6%. Stamina cost -5%."
perkTitanGripRank1LongDesc,progression,Perk,,,"You swing heavy weapons like they weigh nothing. +6% attack speed, -5% stamina cost."
perkTitanGripRank2Desc,progression,Perk,,,"Attack speed +10%. Stamina cost -10%."
perkTitanGripRank2LongDesc,progression,Perk,,,"Improved leverage and technique. +10% speed, -10% stamina."
perkTitanGripRank3Desc,progression,Perk,,,"Attack speed +15%. Stamina cost -15%."
perkTitanGripRank3LongDesc,progression,Perk,,,"Two-handed mastery. +15% attack speed, -15% stamina cost."
perkTitanGripRank4Desc,progression,Perk,,,"Attack speed +22%. Stamina cost -20%."
perkTitanGripRank4LongDesc,progression,Perk,,,"The heaviest sledge feels like an extension of your body. +22% speed, -20% stamina."
perkTitanGripRank5Desc,progression,Perk,,,"Attack speed +30%. Stamina cost -25%."
perkTitanGripRank5LongDesc,progression,Perk,,,"Titan's strength. Heavy weapons swing at blinding speed for minimal stamina. +30% speed, -25% cost."

perkPainGateName,progression,Perk,,,"Pain Gate"
perkPainGateDesc,progression,Perk,,,"Shrug off damage. Medium armor mastery."
perkPainGateRank1Desc,progression,Perk,,,"Damage resist +5%. Medium armor +4%."
perkPainGateRank1LongDesc,progression,Perk,,,"Pain is just a signal you've learned to suppress. +5% physical damage resistance, medium armor +4%."
perkPainGateRank2Desc,progression,Perk,,,"Damage resist +8%. Medium armor +7%."
perkPainGateRank2LongDesc,progression,Perk,,,"Your body compensates for trauma automatically. +8% resist, medium armor +7%."
perkPainGateRank3Desc,progression,Perk,,,"Damage resist +12%. Medium armor +10%."
perkPainGateRank3LongDesc,progression,Perk,,,"Wounds close faster when you stop feeling them. +12% resist, medium armor +10%."
perkPainGateRank4Desc,progression,Perk,,,"Damage resist +16%. Medium armor +14%."
perkPainGateRank4LongDesc,progression,Perk,,,"You fight through injuries that would incapacitate others. +16% resist, medium armor +14%."
perkPainGateRank5Desc,progression,Perk,,,"Damage resist +20%. Medium armor +18%. Immune to stagger below 50% HP."
perkPainGateRank5LongDesc,progression,Perk,,,"Below half health, nothing staggers you. +20% physical resistance, medium armor +18%."

perkBloodRageName,progression,Perk,,,"Blood Rage"
perkBloodRageDesc,progression,Perk,,,"Deal more damage the lower your health. Risk equals reward."
perkBloodRageRank1Desc,progression,Perk,,,"+8% damage below 50% HP."
perkBloodRageRank1LongDesc,progression,Perk,,,"Pain fuels your rage. Deal 8% more damage when below half health."
perkBloodRageRank2Desc,progression,Perk,,,"+12% damage below 50% HP."
perkBloodRageRank2LongDesc,progression,Perk,,,"The closer to death, the more dangerous you become. +12% damage below 50% HP."
perkBloodRageRank3Desc,progression,Perk,,,"+18% damage below 50% HP."
perkBloodRageRank3LongDesc,progression,Perk,,,"Adrenaline overdrive. +18% damage when hurt badly."
perkBloodRageRank4Desc,progression,Perk,,,"+25% damage below 50% HP. +40% below 25% HP."
perkBloodRageRank4LongDesc,progression,Perk,,,"Near death, your damage spikes dramatically. +25% below 50%, +40% below 25%."
perkBloodRageRank5Desc,progression,Perk,,,"+35% damage below 50% HP. +60% below 25% HP."
perkBloodRageRank5LongDesc,progression,Perk,,,"Berserker state. The more they hurt you, the faster they die. +35%/+60% damage scaling."

perkRegenerationName,progression,Perk,,,"Regeneration"
perkRegenerationDesc,progression,Perk,,,"Regenerate health over time, even in combat."
perkRegenerationRank1Desc,progression,Perk,,,"Regen 0.3 HP/sec out of combat."
perkRegenerationRank1LongDesc,progression,Perk,,,"Your body heals faster than normal. Regenerate 0.3 HP per second when not taking damage."
perkRegenerationRank2Desc,progression,Perk,,,"Regen 0.5 HP/sec out of combat."
